    X     Y
   ---   ---
    0     0
    1     0
    2     0
    3     0
    3     1
    4     1
    4     2
    4     3
    5     3
    6     3
    6     4
    6     5
    6     6
    7     6
    8     6
    9     6
    9     7
    9     8
   10     8
   11     8
   11     7
   12     7
   12     6
   12     5
   13     5
   14     5
   14     6
   14     7
   14     6
   14     5
   13     5
   12     5
   12     6
   12     7
   11     7
   11     8
   11     9
   12     9
   12    10
   13    10
   14    10
